Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;Architecture_note;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Food.source;Material;Context;Context_summary;Source;MainBibliography;Bibliography;Observations;Excluded;Reason_for_exclusion
Portugal;39,70853822;-7,983356294;587149;4395902;Tagus basins;Anta de Lajinha;Passage grave;n/a;ITNLUM-203;2000;200;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Regolith (quartz);Mound. Dated by OSL;Mound;Burbidge et al 2014;n/a;Burbidge et al 2014/Lozano Medina 2017;n/a;Yes;Outlier
Spain;40,049527;3,88244;1600399;4513594;East;Cala Morell;Rock-cut-tomb, artificial cave & hypogeum;n/a;UtC-4354;2080;25;n/a;n/a;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Chamber;Chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;Yes;Outlier
Spain;37,40986043;-6,059052883;760292;4144401;South;Montelirio;Tholos;n/a;Erl-17298;2439;58;n/a;n/a;n/a;n/a;n/a;n/a;C3 plants and terrestrial animals;Ivory;Megalithic grave;Funerary area;Garcia Sanjuan et al 2008;n/a;Garcia Sanjuan et al 2008;n/a;No;Not neolithic or chalcholitic period
Spain;37,40986043;-6,059052883;760292;4144401;South;Montelirio;Tholos;n/a;OxA-32200;2569;29;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;n/a;Fernandez Flores, Aycart 2013/Diaz Zorita 2013/Bayliss et al 2016/Bayliss et al 2017/Fontanals-Coll et al 2016/Lozano Medina 2017/Garcia Sanjuan et al 2018;n/a;Fernandez Flores, Aycart 2013/Diaz Zorita 2013/Bayliss et al 2016/Bayliss et al 2017/Fontanals-Coll et al 2016/Lozano Medina 2017/Garcia Sanjuan et al 2018;n/a;No;n/a
Spain;40,049527;3,88244;1600399;4513594;East;Cala Morell;Rock-cut-tomb, artificial cave & hypogeum;n/a;IRPA-1161;2245;40;n/a;n/a;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Chamber;Chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
Spain;39,905736;4,212298;1631073;4501779;East;Biniai Nou 2;Rock-cut-tomb, artificial cave & hypogeum;n/a;UtC-7846;2270;35;-19,48;10,66;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Human bone;Under layer chamber;Mound soil;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
Portugal;39,46134;-7,54437;625225;4368985;Tagus basins;Anta dos Currais do Galhordas;Passage grave;n/a;S3.15OS/0442;2270;40;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Organic material;Funerary chamber;Chamber;Monteiro-Rodrigues, Oliveira 2018, 453;Monteiro-Rodrigues, Oliveira 2018, 453;Monteiro-Rodrigues, Oliveira 2018, 453;n/a;Yes;Outlier
Spain;39,865038;4,14709;1626154;4496400;East;Calescoves;Rock-cut-tomb, artificial cave & hypogeum;n/a;IRPA-1021;2290;40;n/a;-26,8;n/a;n/a;n/a;n/a;Meat and vegetables. Low indices of marine resources;Charcoal;Chamber;Chamber;Mico Perez  2005/Van Strydonck et al 2005;n/a;Mico Perez  2005/Van Strydonck et al 2005;n/a;No;n/a
Spain;37,8419;-6,02806;761516;4192436;South;Palacio III;Tholos;n/a;Beta-165552;2660;90;n/a;n/a;n/a;n/a;n/a;n/a;Mainly C3 plants;n/a;Cremation;Funerary area;Garcia Sanjuan 2006, 153/Diaz Zorita Bonilla et al 2009;Garcia Sanjuan 2004/Diaz Zorita Bonilla et al 2009;Garcia Sanjuan 2006, 153/Garcia Sanjuan 2004/Diaz Zorita Bonilla et al 2009;n/a;No;n/a
Portugal;38,37991;-7,52025;629248;4249004;South;Tholos de Farisoa 1b;Tholos;n/a;OxTL-169j_j1;2740;300;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Ceramic shard;Pot 26. Dated by TL;Chamber;"Whittle, Arnaud 1975; Boaventura 2011";"Whittle, Arnaud 1975; Boaventura 2011";Whittle, Arnaud 1975/Boaventura 2011/Lozano Medina 2017;Geographic coordinates approximated;No;n/a
