Scenario;Model;AIC;Slope;Velocity_km_y;Easting;Northing;DeltaAIC
Bone_Only;Data-driven;10584,37355;-0,000930999;1074115,56;698385,5533;4684806,888;0
Bone_Only;Campo_Hockey;10601,63085;0,000565678;NA;749891,5918;4037061,8;17,25729947
Bone_Only;Southwest;10618,15168;0,000270571;NA;572503,6833;4122979,295;33,77813889
Bone_Only;Northeast;10622,41868;-0,000202342;4942128,347;1453903,898;4717929,443;38,04513221
Corrected_500y;Data-driven;17444,54401;-0,001102967;906645,037;814429,5522;4820101,345;0
Corrected_500y;Campo_Hockey;17464,78121;0,001021035;NA;749891,5918;4037061,8;20,23720391
Corrected_500y;Southwest;17489,58162;0,000777762;NA;572503,6833;4122979,295;45,03760491
Corrected_500y;Northeast;17542,21146;-0,000409906;2439582,11;1453903,898;4717929,443;97,66745457
Raw;Data-driven;17458,07819;-0,001269316;787826,0344;617956,162;4836743,923;0
Raw;Campo_Hockey;17545,83227;0,00101333;NA;749891,5918;4037061,8;87,75407038
Raw;Southwest;17583,39444;0,000562899;NA;572503,6833;4122979,295;125,3162426
Raw;Northeast;17600,5394;0,000225656;NA;1453903,898;4717929,443;142,4612047
